1	Принять
2	Отклонить
3	Нет
4	Соло
5	Группа
6	Задание провалено. Оно будет автоматически перезапущено через пару секунд.
7	Задание провалено. Телепортируйтесь из подземелья и повторите попытку.
8	Еще не открыто
9	Требуется уровень:
10	Максимальный уровень
11	Задание:
12	Сначала вы должны выполнить все предыдущие задания.
13	Сначала вы должны выполнить хотя бы одно из предыдущих заданий.
14	Нет информации о задании.
15	Неизвестное место
16	Уменьшение награды за выполнение задания "{QuestName}".
20	[Максимум]
21	[Вы выполняете максимальное количество заданий. Выполните часть заданий, чтобы освободить место в списке.]
22	Часть сюжета:
23	Рекомендуется для:
24	Место:
25	Ур.
30	Охота
31	Битва
32	Ремесло
101	Найти:
103	Где:
104	Цель:
106	Цель/Цели:
107	Кто:
108	Кто:
111	Кому:
112	Кому:
114	Сопровождение:
115	Защита:
117	Цель/Цели:
118	Кто:
120	Цель:
207	Кому:
208	Кому:
210	Кому:
213	Кому:
300	Распорядитель заданий гильдии
301	Взаимодействие
302	Получение очков
303	Удачная рыбалка
304	Монеты странствий
305	Очки производства
306	Завершить поиск
400	Гильдия ванарха
401	Уровень гильдии
402	Класс
403	Раса
404	Начало задания:
405	Использовать предмет "{ItemName}"
406	Получено сразу
407	Получено от персонажа {NpcName}
408	Уже выполнено.
409	Не выполнено.
410	Срочные приказы - {TerritoryName}
501	Задания хранителя
9901	бездействие1
9902	бездействие2
9903	бездействие3
9904	разговор1
9905	разговор2
9906	разговор3
9907	победа
9908	аплодисменты
9909	запрос
9910	беспокойство
9911	стесняюсь
9912	злоба
9913	плач
9914	приветствие
9915	насмешка
9916	задача
9917	атака
9918	показать
9919	танец
9920	улыбка
201001	Раздор в Дивном лесу
201002	"Уже иду".
201003	Поговорите с командующим Самаэлем.
201004	"Отличный план".
201005	Встретьтесь с легатом Троюсом на Базе странников Велики
201006	"Спасибо".
201007	Поговорите с Аделой на платформе пегасов.
201008	"Хорошо".
201009	Поговорите с Дейвеном в Деревне лесорубов.
201010	"Я принесу парочку".
201011	Поговорите с Клаоном в лагере беженцев.
201012	"Я подожду".
201013	Найдите дивный красоцвет за северным мостом Деревни лесорубов.
201014	Принесите красоцвет Клаону.
201015	"Можешь на меня рассчитывать".
201016	Принесите зелья Клаону.
201017	"Выпей это".
201018	Отнесите зелье больной беженке.
201019	"Это поможет".
201020	Предложите зелье больным беженцам.
201021	"Я несу лекарство".
201022	Предложите зелье больным беженцам.
201023	"Как ты себя чувствуешь?"
201024	Предложите зелье больным беженцам.
201025	"Я справлюсь".
201026	Вернитесь к Клаону.
201027	Клаон - чародей
201028	Травяное зелье
201029	Отнесите зелье Верусу в Лесной форпост.
201030	"Спасибо, я поищу".
202001	Проблемы фей
202002	Центурион Верус
202003	Дивные красоцветы
202004	Отнесите красоцветы в хижину Маона.
202005	"Кто такая Лилликс?"
202006	Кетта
202007	Эссенция красоцветов
202008	Отнесите эссенцию красоцветов Лилликс в Лагерь в долине Фейвайн.
202009	"Почему Серави так разозлился?"
202010	Победите Серави, после чего встретьтесь с ним у Пруда фей.
202011	"Спасибо, Серави".
202012	Поговорите с Серави.
202013	Серави
202014	Слеза единорога
202015	Отнесите слезу единорога Волоссу.
202016	"Все мы должны работать сообща".
203001	Темный голод
203002	"Я разберусь с ними".
203003	Поговорите с Клаоном в Лагере Арона.
203004	Уничтожьте осколки Водоворота.
203005	Убейте Гаркиора.
203006	"За Федерацию!"
203007	Доставьте запечатанный свиток чародею Клаону в лагерь Арона.
203008	Доставьте запечатанный свиток чародею Клаону в лагерь Арона.
212001	[Событие] Еще одно испытание инженера (бонус)
212002	Победите 1 раз Совершенного RK-9 в Ангаре совершенного RK-9 и Кошмарную Абнукту в Руинах Кошмарной Абнукты.
212003	"Спасибо".
212004	Поговорите с Омеросом, находящимся в Верхнем Дозоре.
213001	[Событие] Победа в Твердыне корсаров
213002	[Твердыня корсаров] 3 раза одержите победу в сражении в Твердыне корсаров.
213004	"Спасибо".
213005	Поговорите с Омеросом, находящимся в Верхнем Дозоре.
214001	[Событие] Победа в Каньоне Фрейвинд
214002	[Твердыня корсаров] 3 раза одержите победу в сражении в Каньоне Фрейвинд
214004	"Спасибо".
214005	Поговорите с Омеросом, находящимся в Верхнем Дозоре.
221001	Глупец в лесу
221002	И скажи ему "На этот раз не прощу!"
221003	Ты точно сможешь помочь.
221004	Леннерт
221005	Инструменты для ремонта моста
221006	Отнесите инструменты для ремонта моста Велдону в Лесной форпост.
221007	"Я помогу!"
222001	Проживи другую жизнь
